Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024,Highest Rated Problem
Atas Lapenas,,,,,,,,13.03,1700.0
Fabrizio Lautaro Brandellero,FabriATK,1204.0,,,,,,12.75,1400.0
Abdallah Sherbini,,,,,,,,12.46,1700.0
Baldwin Huang,baldwinhuang1,1173.0,,,,,,12.18,1200.0
Samuel Leber,Servant_of_the_Lord,1409.0,,,,,,11.9,1600.0
Shamir Leonardo Terán Mustafá,shezitt,1630.0,,,,2.29,12.29,11.61,1900.0
Hlib Zabudko,,,,,,,11.14,11.33,1700.0
Halymmuhammet Annageldyyev,halym2007,1470.0,,,,,4.29,11.05,1700.0
Maité Morales Carreras,Maite_Morales,1599.0,,,,,,11.05,2000.0
Han Yang,TKTO,1378.0,,,,,,10.48,1600.0
Aleksander Emil Moltu,,,,,,,,10.2,1700.0
Simón Martínez,MartinezMiners,1039.0,,,,,,9.92,1400.0
Þórhallur Tryggvason,,,,,,,,9.63,1700.0
Lucas Kuunders,Increedible,,,,,,,9.35,
Aybak Samiz,Aybak,920.0,,,,,,9.07,1100.0
Anri Esoev,Ansori,1965.0,,,,,,8.78,2200.0
Francisco Pinhao,FranciscoPinhao,1266.0,,,,,,8.5,1500.0
Juan José Läderach,SpecterByte,1598.0,,,,,,8.22,1700.0
Malik Sadaqa,Rayo,2118.0,,,5.7,7.45,38.0,7.93,2600.0
Hojamuhammet Hydyrov,Hojamuhammet,1405.0,,,,,,7.65,1800.0
Sami Almajali,samsoom,1493.0,,,,,,7.37,1900.0
Rubdary Valentina Rojas Linarez,,,,,1.99,7.74,14.0,7.08,1700.0
Tom Philippe Roth,,,,,,,,6.8,1700.0
Balsa Radulovic,,,,,,,,6.52,1700.0
Mohammed Cherki,Medeali,1407.0,,,,,,6.52,1900.0
Belcar Santiago Cuentas-Zavala Infante,oculars_focuses,,,,,,24.57,5.95,
Agustin Leonardo Arnez Alcocer,aguss,1279.0,,,,,,5.67,1400.0
Didar Choganov,champ.,1239.0,,,,,2.29,5.38,1400.0
Arben Kryemadhi,,,,,,,,5.1,1700.0
Juan David Onofre Florián,juan_o_182,1030.0,,,,,3.71,4.82,1100.0
Raphael Le Goaller,,,,,,,,4.53,1700.0
Mateo Neira,,,,,,,,4.25,1700.0
Andrew Batista García,enderr,986.0,,,,,,3.97,1100.0
Shuyang Feng,,,,,,,,3.68,1700.0
Roberto Valverde Abad,,,,,,,2.29,3.4,1700.0
Adriano Augusto Hernández Rodríguez,Adriano4fk,924.0,,,,,,3.12,1200.0
Ahmed Albakoush,ahmed1611,734.0,,,,,,3.12,800.0
Fadel Elsenusi,adelelsenusi,984.0,,,,,,3.12,1100.0
Assil Abderrezak Boukhnoufa,gok_usan,572.0,,,,,,2.27,
Rubin Bekteshi,,,,,,,,1.98,1700.0
Mohammed Hachem,DriciHachem,,,,,,,1.7,
Steven Mera,,,,,,1.15,2.29,1.42,1700.0
Blendi Avdolli,,,,,,,,1.13,1700.0
Mathías Rivera,,,,,,,,1.13,1700.0
Nzubechukwu Chendo,,,,,,,,1.13,1700.0
