Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024
Yhlas Amanmyradov,stdfloat,1625,,,,,,20.96
Nebili Mohamed Fares,faresnebili,1665,,,,,,20.68
Piotr Stelmaszek,pitu,399,,,,,,20.40
Kristinn Hrafn Daníelsson,N/A,N/A,,,,,7.14,20.11
Hlieb Boiarkin,N/A,N/A,,,,,,19.83
Santiago Guaneme Quintero,Guanexxx,1501,,,,,,19.55
Edvards Freimanis,N/A,N/A,,,,,,19.26
Laura Muliar,N/A,N/A,,,,,16.29,18.98
Akram Zakine,N/A,N/A,,,,,,18.70
Yassir Salama,YassirSalama4,1691,,,,,,18.41
Mohamed Wassim Fkih,Friday_night,1652,,,,,,18.13
Edgardo León,EdL,1315,,,,,,17.85
Peter Zhou,N/A,N/A,,,,,,17.56
Mindiya Karunasinghe,N/A,N/A,,,,,23.43,17.28
Sofija Velkovska,coolplum,1679,,,,14.33,,17.00
Arthur Harri Jaakko Antila,N/A,N/A,,,,,,16.71
Erkhem Ganzorig,ezzzay,1491,,,,,,16.43
Ralf Robert Paabo,N/A,N/A,,,,,16.29,16.43
Gabriel Alberto Cruz Nogales,Gabriel___,1437,,,,,8.86,15.86
Antero Nyberg,N/A,N/A,,,,,,15.58
Raed Naseer,TorresianCrow,1307,,,,5.44,19.71,15.30
Francis José Rodríguez Ronda,SN0WM4N,1609,,,,,,15.01
Roberto Josué Polanco Hernández,N/A,N/A,,,,,,14.73
Eva Sóllilja Einarsdóttir,N/A,N/A,,,,,,14.45
Albara Abdulhafith,Albara_Abdulhafith,1455,,,,,,14.16
Fionn Kimber O'Shea,fionnkimberoshea,1381,,,,,7.43,13.88
Oscar José Pleités Lemus,osplei,1414,,,,,4.57,13.60
Miguel Pereira,N/A,N/A,,,,,,13.31
Atas Lapenas,N/A,N/A,,,,,,13.03
Fabrizio Lautaro Brandellero,FabriATK,1204,,,,,,12.75
Abdallah Sherbini,N/A,N/A,,,,,,12.46
Baldwin Huang,baldwinhuang1,1173,,,,,,12.18
Samuel Leber,Servant_of_the_Lord,1409,,,,,,11.90
Shamir Leonardo Terán Mustafá,shezitt,1630,,,,2.29,12.29,11.61
Hlib Zabudko,N/A,N/A,,,,,11.14,11.33
Halymmuhammet Annageldyyev,halym2007,1470,,,,,4.29,11.05
Maité Morales Carreras,Maite_Morales,1599,,,,,,11.05
Han Yang,TKTO,1378,,,,,,10.48
Aleksander Emil Moltu,N/A,N/A,,,,,,10.20
Simón Martínez,MartinezMiners,1039,,,,,,9.92
Þórhallur Tryggvason,N/A,N/A,,,,,,9.63
Lucas Kuunders,Increedible,N/A,,,,,,9.35
Aybak Samiz,Aybak,920,,,,,,9.07
Anri Esoev,Ansori,1965,,,,,,8.78
Francisco Pinhao,FranciscoPinhao,1266,,,,,,8.50
Juan José Läderach,SpecterByte,1598,,,,,,8.22
Malik Sadaqa,Rayo,2118,,,5.70,7.45,38.00,7.93
Hojamuhammet Hydyrov,Hojamuhammet,1405,,,,,,7.65
Sami Almajali,samsoom,1493,,,,,,7.37
Rubdary Valentina Rojas Linarez,N/A,N/A,,,1.99,7.74,14.00,7.08
Tom Philippe Roth,N/A,N/A,,,,,,6.80
Balsa Radulovic,N/A,N/A,,,,,,6.52
Mohammed Cherki,Medeali,1407,,,,,,6.52
Belcar Santiago Cuentas-Zavala Infante,oculars_focuses,N/A,,,,,24.57,5.95
Agustin Leonardo Arnez Alcocer,aguss,1279,,,,,,5.67
Didar Choganov,champ.,1239,,,,,2.29,5.38
Arben Kryemadhi,N/A,N/A,,,,,,5.10
Juan David Onofre Florián,juan_o_182,1030,,,,,3.71,4.82
Raphael Le Goaller,N/A,N/A,,,,,,4.53
Mateo Neira,N/A,N/A,,,,,,4.25
Andrew Batista García,enderr,986,,,,,,3.97
Shuyang Feng,N/A,N/A,,,,,,3.68
Roberto Valverde Abad,N/A,N/A,,,,,2.29,3.40
Adriano Augusto Hernández Rodríguez,Adriano4fk,924,,,,,,3.12
Ahmed Albakoush,ahmed1611,734,,,,,,3.12
Fadel Elsenusi,adelelsenusi,984,,,,,,3.12
Assil Abderrezak Boukhnoufa,gok_usan,572,,,,,,2.27
Rubin Bekteshi,N/A,N/A,,,,,,1.98
Mohammed Hachem,DriciHachem,N/A,,,,,,1.70
Steven Mera,N/A,N/A,,,,1.15,2.29,1.42
Blendi Avdolli,N/A,N/A,,,,,,1.13
Mathías Rivera,N/A,N/A,,,,,,1.13
Nzubechukwu Chendo,N/A,N/A,,,,,,1.13
