Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024,Pais
Mariza Paspalli,mariza_CY,1882,,,,,,66.01,Cyprus
Theofanis Orfanou,Theo830,2277,,,24.79,67.05,84.29,65.72,Cyprus
Dzmitry Harbatouski,topovik,2223,,,,,,65.44,Russia
Ahmed Gamal,Ahmed57,2173,,,,,,65.16,Egypt
Simon Bachran,sim_ba,2028,,,,,,64.87,Germany
Kunthee Yongvanich,kunzaZa183,2010,,,,,,64.87,Thailand
Aykhan Damirli,dmraykhan,2190,,,,,,64.59,Azerbaijan
Noyan Cantürk,Nummer_64,2200,,,,,,64.59,Turkey
Miloš Milutinović,wxhtzdy,2222,,,,,86.29,64.02,Serbia
Kang Yiming,kymmykym,2203,,,,,,63.74,Singapore
Arthur Lobo Leite Lopes,lobolobo,2321,,,,,68.57,63.46,Brazil
Moez Mahmoud,Octagons,1976,,,,,,63.17,Egypt
Marijonas Salvijus Keturakis,N/A,N/A,,,,,,62.89,Lithuania
Jakov Celin,celin,2152,,,,,,62.61,Croatia
Lovro Tunjić,ltunjic,1981,,,,,,62.32,Croatia
Abdelmaged Nour,AbdelmagedNour,2169,,,,54.44,72.86,62.04,Egypt
Rareș-Felix Tudose,RaresFelix,2516,,,,,,62.04,Romania
Kiryl Kardash,k1r1t0,2552,,,,,,61.47,Russia
Baitoro Mairambekov,baytoro,1941,,,,,48.86,61.19,Kyrgyzstan
Bianca Vicente,biank,1637,,,,,22.29,60.91,Argentina
Nikoloz Melikishvili,Nika533,2196,,,,,,60.62,Georgia
Thawin Tengamnuay,thawin.ice,2263,,,,,,60.34,Thailand
Filbert Ephraim Wu,pwned,2112,,,,31.23,55.43,60.06,Philippines
Hang Chi Ng,N/A,N/A,,,,,,59.77,Macao
Yash Thakker,PoPularPlusPlus,2211,,,,,,59.49,India
Itamar Nir,ItamarNir,2223,,,,,,59.21,Israel
Mihailo Jančević,prokulijander,1960,,,,,,59.21,Serbia
